"date","state","county","locality","habitat","latitude","longitude","masl","subfamily","ant.genus","ant.species","code","collection","collector"
"2008-06-15","massachusetts","dukes","Naushon Island",NA,41.483,-70.758,NA,"Myrmicinae","Aphaenogaster","rudis group","aphrud","MCZ-Lubertazzi DB","Creighton"
"2007-07-24","massachusetts","dukes","Menemsha Hills","Oak Woodland",41.37,-70.75,60,"Myrmicinae","Aphaenogaster ","rudis","aphrud","HFR","MAants"
"2007-07-24","massachusetts","dukes","Menemsha Hills","Oak Woodland",41.37,-70.75,60,"Myrmicinae","Aphaenogaster ","rudis","aphrud","HFR","MAants"
"2007-07-24","massachusetts","dukes","Long Point","Sandplain Heathland",41.35,-70.64,8,"Myrmicinae","Aphaenogaster ","rudis","aphrud","HFR","MAants"
"2007-07-24","massachusetts","dukes","Long Point","Sandplain Heathland",41.35,-70.64,8,"Myrmicinae","Aphaenogaster ","rudis","aphrud","HFR","MAants"
"2007-07-24","massachusetts","dukes","Long Point","Sandplain Heathland",41.35,-70.64,8,"Myrmicinae","Aphaenogaster ","rudis","aphrud","HFR","MAants"
"2007-07-24","massachusetts","dukes","Long Point","Sandplain Heathland",41.35,-70.64,8,"Myrmicinae","Aphaenogaster ","rudis","aphrud","HFR","MAants"
"2007-07-24","massachusetts","dukes","Long Point","Sandplain Heathland",41.35,-70.64,8,"Myrmicinae","Aphaenogaster ","rudis","aphrud","HFR","MAants"
"2007-07-24","massachusetts","dukes","Long Point","Oak Woodland",41.36,-70.64,14,"Myrmicinae","Aphaenogaster ","rudis","aphrud","HFR","MAants"
"2007-07-24","massachusetts","dukes","Long Point","Oak Woodland",41.36,-70.64,14,"Myrmicinae","Aphaenogaster ","rudis","aphrud","HFR","MAants"
"2007-07-24","massachusetts","dukes","Long Point","Oak Woodland",41.36,-70.64,14,"Myrmicinae","Aphaenogaster ","rudis","aphrud","HFR","MAants"
"2007-07-24","massachusetts","dukes","Long Point","Frost Bottom - Open",41.37,-70.63,8,"Myrmicinae","Aphaenogaster ","rudis","aphrud","HFR","MAants"
"2000-07-29","massachusetts","dukes","Schmitt","upland",41.41,-71.61,17,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-29","massachusetts","dukes","Schmitt","upland",41.41,-71.61,17,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-29","massachusetts","dukes","Schmitt","upland",41.41,-71.61,17,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-29","massachusetts","dukes","Schmitt","upland",41.41,-71.61,17,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-29","massachusetts","dukes","Schmitt","upland",41.41,-71.61,17,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-29","massachusetts","dukes","Schmitt","upland",41.41,-71.61,17,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-29","massachusetts","dukes","Arethusa","upland",41.32,-70.8,5,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-29","massachusetts","dukes","Arethusa","upland",41.32,-70.8,5,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2007-07-29","massachusetts","dukes","Schmitt","upland",41.41,-71.61,17,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2007-07-29","massachusetts","dukes","Schmitt","upland",41.41,-71.61,17,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2007-07-29","massachusetts","dukes","Schmitt","upland",41.41,-71.61,17,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2007-07-29","massachusetts","dukes","Schmitt","upland",41.41,-71.61,17,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2007-07-29","massachusetts","dukes","Schmitt","upland",41.41,-71.61,17,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2007-07-29","massachusetts","dukes","Schmitt","upland",41.41,-71.61,17,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2007-07-29","massachusetts","dukes","Schmitt","upland",41.41,-71.61,17,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2007-07-29","massachusetts","dukes","VOLF","upland",41.45,-70.65,29,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2007-07-29","massachusetts","dukes","VOLF","upland",41.45,-70.65,29,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2007-07-29","massachusetts","dukes","VOLF","upland",41.45,-70.65,29,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2007-07-29","massachusetts","dukes","VOLF","upland",41.45,-70.65,29,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2007-07-29","massachusetts","dukes","VOLF","upland",41.45,-70.65,29,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2007-07-29","massachusetts","dukes","VOLF","upland",41.45,-70.65,29,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2007-07-29","massachusetts","dukes","VOLF","upland",41.45,-70.65,29,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2007-07-29","massachusetts","dukes","VOLF","upland",41.45,-70.65,29,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2007-07-29","massachusetts","dukes","VOLF","upland",41.45,-70.65,29,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2007-07-29","massachusetts","dukes","VOLF","upland",41.45,-70.65,29,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2007-07-29","massachusetts","dukes","VOLF","upland",41.45,-70.65,29,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2007-07-29","massachusetts","dukes","VOLF","upland",41.45,-70.65,29,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2007-07-29","massachusetts","dukes","VOLF","upland",41.45,-70.65,29,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2007-07-29","massachusetts","dukes","VOLF","upland",41.45,-70.65,29,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2007-07-29","massachusetts","dukes","VOLF","upland",41.45,-70.65,29,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2007-07-29","massachusetts","dukes","VOLF","upland",41.45,-70.65,29,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2007-07-29","massachusetts","dukes","VOLF","upland",41.45,-70.65,29,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2007-07-29","massachusetts","dukes","VOLF","upland",41.45,-70.65,29,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2007-07-29","massachusetts","dukes","VOLF","upland",41.45,-70.65,29,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2007-07-29","massachusetts","dukes","VOLF","upland",41.45,-70.65,29,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2007-07-29","massachusetts","dukes","VOLF","upland",41.45,-70.65,29,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2007-07-29","massachusetts","dukes","VOLF","upland",41.45,-70.65,29,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
NA,"massachusetts","dukes","Naushon Island",NA,41.483,-70.758,NA,"Myrmicinae","Aphaenogaster","rudis group","aphrud","MCZ-Lubertazzi DB",NA
NA,"massachusetts","dukes","Ants of Martha's Vineyard",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","MCZ","SPCover"
