"site.name","site.code","state","latitude","longitude","bog.perim","bog.area","masl","dsf","gsf","lai"
"Tobey Pond Bog","TPB","CT",41.98,73.22,279,2877,389,0.043,0.049,5.368
"Arcadia Bog","ARC","MA",42.31,72.43,161,1190,95,0.082,0.08,5.286
"Black Pond Bog","BPB","MA",42.18,70.81,394,9679,45,NA,NA,NA
"Bourne-Hadley Bog","BH","MA",42.56,72.09,1985,105369,274,0.089,0.093,2.506
"Chockalog Pond Bog","CKB","MA",42.03,71.67,599,7422,152,0.063,0.068,2.762
"Clayton Bog","CB","MA",42.05,73.3,1534,73120,210,0.133,0.128,2.462
"Halls Brook Cedar Swamp","HBC","MA",42,70.74,694,11760,8,0.089,0.092,3.453
"Hawley Bog","HAW","MA",42.58,72.89,832,36813,543,0.129,0.121,2.822
"Lake Jones Bog","WIN","MA",42.69,72,2651,84235,323,0.057,0.063,4.497
"Lilly Pond Bog","LPB","MA",42.44,72.84,1943,56559,468,NA,NA,NA
"Otis Bog","OB","MA",42.23,73.06,2195,89208,491,0.056,0.061,3.128
"Ponkapoag Bog","PK","MA",42.19,71.1,2960,491189,47,0.149,0.141,3.695
"Poutwater Pond","PPB","MA",42.42,72.84,NA,NA,280,NA,NA,NA
"Quabbin Bog no. 42","QB42","MA",42.42,72.22,387,6706,175,NA,NA,NA
"Quag Pond Bog","QP","MA",42.57,71.96,1190,40447,335,0.156,0.153,2.457
"Round Pond Bog","RP","MA",42.17,72.7,882,10511,78,0.07,0.073,3.038
"Shankpainter Ponds","SKP","MA",42.05,70.2,1883,55152,1,0.215,0.219,1.587
"Snake Pond Bog (Holyoke)","SB","MA",42.17,72.68,NA,NA,122,NA,NA,NA
"Swift River WMA","SWR","MA",42.27,72.34,667,19699,121,0.059,0.063,3.11
"Donut Pond Bog","DON","MA",41.28,70.05,387,8740,7,NA,NA,NA
"Taupshwa Bog","TAB","MA",41.28,70.05,584,16689,6,NA,NA,NA
"Arethusa Bog","AB","MA",41.32,70.8,193,2598,5,NA,NA,NA
"Cedar Tree Neck","CTN","MA",41.43,70.7,908,33738,20,NA,NA,NA
"Schmitt Bog","SCH","MA",41.41,71.61,92,533,17,NA,NA,NA
"VOLF Cranberry Bog","VOLF","MA",41.45,70.65,1366,88427,29,NA,NA,NA
"Carmi Bog","CAR","VT",44.95,72.9,1146,38023,133,0.051,0.059,3.047
"Chickering Bog","CHI","VT",44.33,72.48,1319,38081,362,0.047,0.049,3.713
"Colchester Bog","COL","VT",44.55,73.28,3430,623284,30,0.049,0.052,3.867
"Molly Bog","MOL","VT",44.5,72.64,663,8852,236,0.054,0.057,4.417
"Moose Bog","MOO","VT",44.76,71.74,5947,864970,353,0.059,0.062,4.795
"Peacham Bog","PEA","VT",44.29,72.24,5603,576732,468,0.076,0.077,3.993
"Snake Mountain Bog","SNA","VT",44.06,73.27,66,248,313,0.163,0.168,1.713
"Springfield Bog","SPR","VT",43.33,72.51,113,435,158,0.057,0.053,3.423
